Game Name,Payout Amount,Display Name,Form Number,Manufacturer,Total Tickets,Deal Count,Total Deal Tickets,Total Payout,Ideal Profit,Ideal Percent,Card Type,URL,Active
Quad Runner,140,Quad Runner $140,7359M,Arrow,200,1,200,140,60,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF,TRUE
Quad Runner,165,Quad Runner $165,7361M,Arrow,250,1,250,165,85,34,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF,TRUE
Quad Runner,175,Quad Runner $175,7360M,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF,TRUE
Quad Runner,210,Quad Runner $210,,Arrow,325,1,325,210,115,35,Seal,,TRUE
Quad Runner,260,Quad Runner $260,7363M,Arrow,400,1,400,260,140,35,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF,TRUE
Quad Runner,280,Quad Runner $280,7362M,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF,TRUE
Quad Runner,390,Quad Runner $390,7364M,Arrow,600,1,600,390,210,35,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF,TRUE
Quad Runner,500,Quad Runner $500,,Arrow,775,1,775,500,275,35,Seal,,TRUE
Race Horse Downs,250,Race Horse Downs $250,354GA,Arrow,1000,1,1000,670,330,33,Hold,https://www.arrowinternational.com/db/grafix/AIPDF/C354GA.PDF,TRUE
Race Horse Downs,521,Race Horse Downs $521,353GA,Arrow,2040,1,2040,1425,615,30,Hold,https://www.arrowinternational.com/db/grafix/AIPDF/C354GA.PDF,TRUE
Red Hot Cardinals,140,Red Hot Cardinals $140,,Arrow,230,1,230,140,90,39,Seal,,TRUE
Rockin' Robin,140,Rockin' Robin $140,7348J,Arrow,230,1,230,140,90,39,Seal,,TRUE
Roulette,175,Roulette $175,6916M,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Roulette,200,Roulette $200,6779P,Arrow,300,1,300,200,100,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Roulette,280,Roulette $280,6917M,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Roulette,400,Roulette $400,6918M,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
